Memory Mode,Swarm Size,Coefficient of Variance
0,50,0.3512160455418684
0,100,0.26671892820428983
0,150,0.5498558655740077
1,50,0.6011871665228697
1,100,0.4045170493664461
1,150,0.8026420883854328
2,50,0.49894130506922274
2,100,0.5762916230629435
2,150,0.5028602620895719
